Year,month,heat content anomaly (10^22  Joules)
1955,6,-0.112888
1956,6,-4.435912
1957,6,-5.581200
1958,6,-1.357916
1959,6,-0.125907
1960,6,-1.150040
1961,6,-2.191756
1962,6,-3.028738
1963,6,-1.974558
1964,6,-0.999268
1965,6,-3.651060
1966,6,-3.879088
1967,6,-3.258875
1968,6,-4.560177
1969,6,-4.898119
1970,6,-5.943489
1971,6,-3.910183
1972,6,-2.546130
1973,6,-3.276274
1974,6,-3.247772
1975,6,-2.137013
1976,6,-0.842684
1977,6,1.487195
1978,6,0.186941
1979,6,-1.640448
1980,6,1.813644
1981,6,0.533019
1982,6,-1.675871
1983,6,2.378227
1984,6,-2.455978
1985,6,1.808964
1986,6,1.703140
1987,6,-1.371921
1988,6,0.316734
1989,6,2.184499
1990,6,-1.216034
1991,6,3.209013
1992,6,1.039358
1993,6,0.014944
1994,6,-0.640411
1995,6,2.082141
1996,6,7.236955
1997,6,3.687088
1998,6,5.323250
1999,6,5.638433
2000,6,5.757782
2001,6,2.730675
2002,6,7.580072
2003,6,9.989262
2004,6,9.882789
2005,6,8.463406
2006,6,9.907466
2007,6,8.811550
2008,6,10.336976
2009,6,9.101278
2010,6,9.614333
2011,6,10.042295
2012,6,10.098619
2013,6,12.048531
2014,6,13.165339
2015,6,14.841905
2016,6,13.076438
2017,6,16.228298
2018,6,15.545946
2019,6,17.515776
2020,6,17.286221
2021,6,17.946842
2022,6,20.062943
